               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092056,            0.039019,                   0,           0.0055303,             0.73737,             0.01166,           0.0028935,            0.074682,            0.028703,                   0,            0.070484,           0.0032796,           0.0032796
                   1,            0.065024,            0.031461,                   0,             0.28805,             0.38826,             0.21677,            0.063515,            0.069213,            0.022198,                   0,            0.040087,           0.0062161,           0.0062161
                   2,            0.062716,            0.025328,                   0,             0.11879,             0.58586,             0.23377,            0.065364,            0.064572,            0.019965,                   0,           0.0092903,           0.0087527,           0.0087527
                   3,            0.058688,            0.023724,                   0,             0.36783,             0.42424,             0.27889,             0.11206,            0.059141,            0.018229,                   0,              0.0082,              0.0082,              0.0082
                   4,            0.055333,            0.022214,                   0,             0.41491,             0.44444,             0.37167,             0.12579,            0.049547,            0.018926,                   0,              0.0082,              0.0082,              0.0082
                   5,            0.045627,             0.02147,                   0,             0.57825,             0.51515,             0.54338,             0.23833,            0.046164,            0.016905,                   0,              0.0076,              0.0076,              0.0076
                   6,            0.040357,            0.019755,                   0,               0.678,             0.61616,              0.6867,             0.36218,            0.039881,            0.015772,                   0,               0.007,               0.007,               0.007
                   7,            0.038559,            0.017499,                   0,             0.67268,             0.70579,             0.72937,             0.40101,            0.042863,            0.013812,                   0,              0.0064,              0.0064,              0.0064
                   8,            0.035263,            0.016371,                   0,             0.53278,             0.75758,             0.65095,             0.34496,            0.038114,            0.013176,                   0,              0.0058,              0.0058,              0.0058
                   9,             0.03426,            0.014934,                   0,             0.74006,             0.71717,             0.77215,             0.43408,            0.035384,            0.012547,                   0,              0.0052,              0.0052,              0.0052
                  10,            0.031586,            0.014029,                   0,             0.89298,             0.75855,             0.86855,             0.50811,            0.033021,            0.011963,                   0,              0.0046,              0.0046,              0.0046
                  11,            0.029527,            0.013051,                   0,             0.88256,             0.76768,             0.87544,             0.51903,            0.032141,             0.01175,                   0,               0.004,               0.004,               0.004
                  12,            0.027337,            0.012416,                   0,             0.85986,             0.80569,             0.88194,             0.54517,            0.031047,             0.01162,                   0,              0.0034,              0.0034,              0.0034
                  13,            0.026733,            0.012025,                   0,             0.84514,             0.82687,             0.89318,             0.54143,             0.03034,            0.011277,                   0,              0.0028,              0.0028,              0.0028
                  14,            0.025219,            0.011628,                   0,             0.83289,             0.82828,             0.89499,             0.58536,            0.029156,            0.011175,                   0,              0.0022,              0.0022,              0.0022
